name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
PortKey,,https://portkey.ai/features/ai-gateway,logos/b110fd3a8da92abced22f6fd2d7251d8b0bc9b84d7f9e8f58fd798963aaff95a.svg,,,,,,,MIT License,,"A blazing fast AI Gateway with integrated guardrails. Route to 200+ LLMs, 50+ AI Guardrails with 1 fast & friendly API.",,,,,,,,,,,,Agentic,LLM Gateway,true,https://github.com/Portkey-AI/gateway,10687,"A blazing fast AI Gateway with integrated guardrails. Route to 200+ LLMs, 50+ AI Guardrails with 1 fast & friendly API.",2026-02-19,https://github.com/Portkey-AI/gateway/commit/28ed85e42e11f617cd38d034151ebfce3ccb486e,2026-01-12,https://github.com/Portkey-AI/gateway/releases/tag/v1.15.2,2023-08-23,https://github.com/Portkey-AI/gateway/commit/fc08de7538f78f7c4ac15167ba8c86242a004cf1,123,https://github.com/Portkey-AI/gateway/graphs/contributors,,,,,,,,,,,,
Promptfoo,,https://www.promptfoo.dev/,logos/98ee3f5225534cdea67b05d4174cb48c5cc761e15698a809c3ec11fbc4325da1.svg,,,,,,,MIT License,,"Test your prompts, agents, and RAGs. AI Red teaming, pentesting, and vulnerability scanning for LLMs. Compare performance of GPT, Claude, Gemini, Llama, and more. Simple declarative configs with command line and CI/CD integration.",,,,,,,,,,,,Agentic,Evaluations,true,https://github.com/promptfoo/promptfoo,10598,"Test your prompts, agents, and RAGs. AI Red teaming, pentesting, and vulnerability scanning for LLMs. Compare performance of GPT, Claude, Gemini, Llama, and more. Simple declarative configs with command line and CI/CD integration.",2026-02-23,https://github.com/promptfoo/promptfoo/commit/983970ab8f9ed0731f3c0dcac27f2f76ce2ce0d0,2026-02-18,https://github.com/promptfoo/promptfoo/releases/tag/0.120.25,2023-03-31,https://github.com/promptfoo/promptfoo/commit/6affccb9030739a01f35e6dcb6aa3d21e983caf5,245,https://github.com/promptfoo/promptfoo/graphs/contributors,,,,,,,,,,,,
Pydantic AI,,https://ai.pydantic.dev/,logos/446cb088d17b3d40e8c83185dc15bde91106f47e5ecdd28ea1e4e77e9122bcc7.png,,,,,,,MIT License,,"GenAI Agent Framework, the Pydantic way",,,,,,,,,,,,Agentic,Frameworks,true,https://github.com/pydantic/pydantic-ai,15028,"GenAI Agent Framework, the Pydantic way",2026-02-23,https://github.com/pydantic/pydantic-ai/commit/bc7f6a28c14c960d9b90a27cfc7985f640f29744,2026-02-23,https://github.com/pydantic/pydantic-ai/releases/tag/v1.63.0,2024-06-14,https://github.com/pydantic/pydantic-ai/commit/9785eb3ea3a767c866c1cbc62e0a3043d590312a,379,https://github.com/pydantic/pydantic-ai/graphs/contributors,,,,,,,,,,,,
Qdrant,,https://cloud.qdrant.io/,logos/a1812bf0eda10e842aa9854e59ee406e5be2ab341b8e78a445b0e8d280fd42d2.svg,,,,,,,Apache License 2.0,,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",,,,,,,,,,,,Infrastructure,Vector DBs,true,https://github.com/qdrant/qdrant,29027,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",2026-02-19,https://github.com/qdrant/qdrant/commit/09f87abbd8215031609988f3b0e220b739db2d9a,2026-02-20,https://github.com/qdrant/qdrant/releases/tag/v1.17.0,2020-05-30,https://github.com/qdrant/qdrant/commit/e4452500a0228cccbf8dd37e3c9e8f81e8faaf33,153,https://github.com/qdrant/qdrant/graphs/contributors,,,,,,,,,,,,
Ragas,,https://docs.ragas.io/en/stable/,logos/9320e9e8326fafb463d4201ef4f4052f49b630c66605d0862f2efcaf0d433193.svg,,,,,,,Apache License 2.0,,Supercharge Your LLM Application Evaluations 🚀,,,,,,,,,,,,Agentic,Evaluations,true,https://github.com/vibrantlabsai/ragas,12683,Supercharge Your LLM Application Evaluations 🚀,2026-01-31,https://github.com/vibrantlabsai/ragas/commit/2b38724972a18f77b51247657654b3e74a615a30,2026-01-13,https://github.com/vibrantlabsai/ragas/releases/tag/v0.4.3,2023-05-08,https://github.com/vibrantlabsai/ragas/commit/5b2a57e8d40739b8c0299c92143cb3d27faa2b26,245,https://github.com/vibrantlabsai/ragas/graphs/contributors,,,,,,,,,,,,
Selenium Grid 4,,https://www.selenium.dev/documentation/grid/,logos/26cf5e6e1694e3f037adc083edc49c7b5bad5f769b1b6c8f656c870f18a52ac9.png,,,,,,,Apache License 2.0,,A browser automation framework and ecosystem.,,,,,,,,,,,,Agentic,Search & Web Access,true,https://github.com/SeleniumHQ/selenium,34073,A browser automation framework and ecosystem.,2026-02-23,https://github.com/SeleniumHQ/selenium/commit/6d9b3345311fde1853b3a340e2e294976da84718,2026-02-20,https://github.com/SeleniumHQ/selenium/releases/tag/selenium-4.41.0,2004-11-03,https://github.com/SeleniumHQ/selenium/commit/29c4d9c45c3ba49916d3691324ef783e122a8f38,926,https://github.com/SeleniumHQ/selenium/graphs/contributors,,,,,,,,,,,,
Semantic Kernel,,https://learn.microsoft.com/en-us/semantic-kernel/overview/,logos/a1af1edb94d1e2b56957c5ac36eeaa05c003c1f0797cd3c2750a76c10e08f293.svg,,,,,,,MIT License,,Integrate cutting-edge LLM technology quickly and easily into your apps,,,,,,,,,,,,Agentic,Frameworks,true,https://github.com/microsoft/semantic-kernel,27290,Integrate cutting-edge LLM technology quickly and easily into your apps,2026-02-23,https://github.com/microsoft/semantic-kernel/commit/c086d0944259ab3f28ba16f1f984a3ab2fe4fc7d,2026-02-19,https://github.com/microsoft/semantic-kernel/releases/tag/dotnet-1.72.0,2023-02-24,https://github.com/microsoft/semantic-kernel/commit/89fe9a9ce3bfaf3eecbc0ffe332037317a27ae80,400,https://github.com/microsoft/semantic-kernel/graphs/contributors,,,,,,,,,,,,
SGLang,,https://www.sglang.io/,logos/c801ac352c84d27689070962d2d8bf4d042c369759bac9dfa40d89eac48c027e.png,,,,,,,Apache License 2.0,,SGLang is a high-performance serving framework for large language models and multimodal models.,,,,,,,,,,,,LLMs,Serving,true,https://github.com/sgl-project/sglang,23670,SGLang is a high-performance serving framework for large language models and multimodal models.,2026-02-23,https://github.com/sgl-project/sglang/commit/2274bfebb194f83ac1f2b69e100a27c4a27d94d2,2026-01-23,https://github.com/sgl-project/sglang/releases/tag/v0.5.8,2023-10-09,https://github.com/sgl-project/sglang/commit/f6d40df0ee1e1fc53db3edc04bf90575f221cf23,1114,https://github.com/sgl-project/sglang/graphs/contributors,,,,,,,,,,,,
Smolagents,,https://huggingface.co/docs/smolagents,logos/b614f321c9b6a37b1aab26efe652e44ba33bfc15b1dd6fdde749b6c7c32f47df.svg,,,,,,,Apache License 2.0,,🤗 smolagents: a barebones library for agents that think in code.,,,,,,,,,,,,Agentic,Frameworks,true,https://github.com/huggingface/smolagents,25576,🤗 smolagents: a barebones library for agents that think in code.,2026-02-21,https://github.com/huggingface/smolagents/commit/457abdeca293cc43082fa38f2ae9755aa9af40c3,2026-01-16,https://github.com/huggingface/smolagents/releases/tag/v1.24.0,2024-12-05,https://github.com/huggingface/smolagents/commit/dfd9609c26ccadfb6165576bf285054e738e2a95,197,https://github.com/huggingface/smolagents/graphs/contributors,,,,,,,,,,,,
Strands,,https://strandsagents.com/,logos/de8cfe5f04ff2c7597f8bbce1f9123592049c511217b42ef0b68c2f4b48380e6.svg,,,,,,,Apache License 2.0,,A model-driven approach to building AI agents in just a few lines of code.,,,,,,,,,,,,Agentic,Frameworks,true,https://github.com/strands-agents/sdk-python,5160,A model-driven approach to building AI agents in just a few lines of code.,2026-02-20,https://github.com/strands-agents/sdk-python/commit/d66a54c2bcbe713422622a49214aac6cc0910ff2,2026-02-19,https://github.com/strands-agents/sdk-python/releases/tag/v1.27.0,2025-05-16,https://github.com/strands-agents/sdk-python/commit/b3890bb83821fe9cf3a0940ed79c75378e239811,94,https://github.com/strands-agents/sdk-python/graphs/contributors,,,,,,,,,,,,
SWE-agent,,https://swe-agent.com/,logos/e2eb6d5d49e8c8342e9a91c869475229cde8b88443311d6f4718f68b6e5f8efa.png,,,,,,,MIT License,,"SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024] ",,,,,,,,,,,,Agentic,Coding Agents,true,https://github.com/SWE-agent/SWE-agent,18537,"SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024] ",2026-02-23,https://github.com/SWE-agent/SWE-agent/commit/ed7dd55cbcbfed012147ac1cf7558f3498404808,2025-05-22,https://github.com/SWE-agent/SWE-agent/releases/tag/v1.1.0,2024-04-02,https://github.com/SWE-agent/SWE-agent/commit/5b143857cb7af8b22fd421a103429f76f5259f08,95,https://github.com/SWE-agent/SWE-agent/graphs/contributors,,,,,,,,,,,,
Temporal,,https://temporal.io/,logos/cfacd471d90c1a73099be8e2e6087c53d77b4bf875b0215b0b95ba4f73e729f7.png,,,,,,,MIT License,,Temporal service,,,,,,,,,,,,Agentic,Workflow Orchestration,true,https://github.com/temporalio/temporal,18464,Temporal service,2026-02-23,https://github.com/temporalio/temporal/commit/6875191ef7d7ea191549150812c3b7b36507215c,2026-02-04,https://github.com/temporalio/temporal/releases/tag/v1.29.3,2016-10-24,https://github.com/temporalio/temporal/commit/685242e53fb0c0d9cbdd62fc7725418b528506eb,259,https://github.com/temporalio/temporal/graphs/contributors,,,,,,,,,,,,
TensorRT-LLM,,https://nvidia.github.io/TensorRT-LLM/,logos/327be5a14d4b30db63f3bf74db2314ebdf051acd9163cddf5a2d24db7f5ef112.png,,,,,,,Other,,TensorRT LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and supports state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT LLM also contains components to create Python and C++ runtimes that orchestrate the inference execution in a performant way.,,,,,,,,,,,,LLMs,Serving,true,https://github.com/NVIDIA/TensorRT-LLM,12926,TensorRT LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and supports state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT LLM also contains components to create Python and C++ runtimes that orchestrate the inference execution in a performant way.,2026-02-23,https://github.com/NVIDIA/TensorRT-LLM/commit/d8d11695c04de9f63e40710b80310c8f952588af,2025-12-19,https://github.com/NVIDIA/TensorRT-LLM/releases/tag/v1.1.0,2023-09-20,https://github.com/NVIDIA/TensorRT-LLM/commit/23bc5b7c490576071a021d6fcfc32c5808db36a2,332,https://github.com/NVIDIA/TensorRT-LLM/graphs/contributors,,,,,,,,,,,,
Text Generation Inference,,https://huggingface.co/docs/text-generation-inference,logos/45209c7bcdfe5c650231a32cac92b8242c1750fd60ae4bba30c8de03e2d49e7e.png,,,,,,,Apache License 2.0,,Large Language Model Text Generation Inference,,,,,,,,,,,,LLMs,Serving,true,https://github.com/huggingface/text-generation-inference,10777,Large Language Model Text Generation Inference,2026-01-08,https://github.com/huggingface/text-generation-inference/commit/db931fcf42da018a3657580c64bf2720f167f9ab,2025-12-19,https://github.com/huggingface/text-generation-inference/releases/tag/v3.3.7,2022-10-08,https://github.com/huggingface/text-generation-inference/commit/295831a481241d3d06b49f646a40f27b1297fab5,147,https://github.com/huggingface/text-generation-inference/graphs/contributors,,,,,,,,,,,,
TruLens,,https://www.trulens.org/,logos/b58dc2c325feed13f26e2d5ed493b2ccf2bdb4665037127a7ba23550c6df3ce9.svg,,,,,,,MIT License,,Evaluation and Tracking for LLM Experiments and AI Agents,,,,,,,,,,,,Agentic,Evaluations,true,https://github.com/truera/trulens,3105,Evaluation and Tracking for LLM Experiments and AI Agents,2026-02-23,https://github.com/truera/trulens/commit/1d8ce8ea67a7e2d992b2577f973c1732166e9ad8,2026-02-19,https://github.com/truera/trulens/releases/tag/trulens-2.7.0,2020-11-13,https://github.com/truera/trulens/commit/657f6042a714845cd369872037d8f942672556fa,67,https://github.com/truera/trulens/graphs/contributors,,,,,,,,,,,,
txtai,,https://neuml.github.io/txtai/,logos/8e0b639862198d780b08382ed66a88dbe7eb581f9e9e4a499f9b09b86cef5b0e.png,,,,,,,Apache License 2.0,,"💡 All-in-one AI framework for semantic search, LLM orchestration and language model workflows",,,,,,,,,,,,Agentic,RAG,true,https://github.com/neuml/txtai,12207,"💡 All-in-one AI framework for semantic search, LLM orchestration and language model workflows",2026-02-22,https://github.com/neuml/txtai/commit/3073589ad6b448cf459ec1eec34013ee416f2109,2026-02-12,https://github.com/neuml/txtai/releases/tag/v9.5.0,2020-08-09,https://github.com/neuml/txtai/commit/319bda5c5cb5788c2de00ba553f1faea96873377,22,https://github.com/neuml/txtai/graphs/contributors,,,,,,,,,,,,
Unsloth,,https://unsloth.ai/,logos/7db74040f371ff084eadbc925d88bddf6a9adaba4c6afa0e8e9953579f062d7a.png,,,,,,,Apache License 2.0,,"Fine-tuning & Reinforcement Learning for LLMs. 🦥 Train OpenAI gpt-oss, DeepSeek, Qwen, Llama, Gemma, TTS 2x faster with 70% less VRAM.",,,,,,,,,,,,LLMs,Fine-tuning,true,https://github.com/unslothai/unsloth,52647,"Fine-tuning & Reinforcement Learning for LLMs. 🦥 Train OpenAI gpt-oss, DeepSeek, Qwen, Llama, Gemma, TTS 2x faster with 70% less VRAM.",2026-02-23,https://github.com/unslothai/unsloth/commit/852c817e65ccba4626bae01ce3f4c87a2cbde16b,2026-02-10,https://github.com/unslothai/unsloth/releases/tag/February-2026,2023-11-29,https://github.com/unslothai/unsloth/commit/44419b9741a88a1f4ad22b5d1b7a18dfa4827505,130,https://github.com/unslothai/unsloth/graphs/contributors,,,,,,,,,,,,
Unstructured,,https://unstructured.io/,logos/08e04599f7621529f5efcbb240d0eaff7aef9bda0c80ed1d9bb04cc434b15576.png,,,,,,,Apache License 2.0,,"Convert documents to structured data effortlessly. Unstructured is open-source ETL solution for transforming complex documents into clean, structured formats for language models.  Visit our website to learn more about our enterprise grade Platform product for production grade workflows, partitioning, enrichments, chunking and embedding.",,,,,,,,,,,,Agentic,RAG,true,https://github.com/Unstructured-IO/unstructured,14042,"Convert documents to structured data effortlessly. Unstructured is open-source ETL solution for transforming complex documents into clean, structured formats for language models.  Visit our website to learn more about our enterprise grade Platform product for production grade workflows, partitioning, enrichments, chunking and embedding.",2026-02-23,https://github.com/Unstructured-IO/unstructured/commit/16482f96a07291fe045fdf1706d172c3e91e5ceb,2026-02-23,https://github.com/Unstructured-IO/unstructured/releases/tag/0.21.2,2022-06-29,https://github.com/Unstructured-IO/unstructured/commit/5f40c78f25f4252a1d61eb4eb745c8ed3052c5b3,137,https://github.com/Unstructured-IO/unstructured/graphs/contributors,,,,,,,,,,,,
vLLM,,https://vllm.ai/,logos/789d223c86d7884c48ea51f8e799e8c0ce952495186131fcaed24c06292d0e45.svg,,,,,,,Apache License 2.0,,A high-throughput and memory-efficient inference and serving engine for LLMs,,,,,,,,,,,,LLMs,Serving,true,https://github.com/vllm-project/vllm,70990,A high-throughput and memory-efficient inference and serving engine for LLMs,2026-02-23,https://github.com/vllm-project/vllm/commit/b8d8b7e934a572717273c5f635a644774814869c,2026-02-04,https://github.com/vllm-project/vllm/releases/tag/v0.15.1,2023-02-09,https://github.com/vllm-project/vllm/commit/e7d9d9c08c79b386f6d0477e87b77a572390317d,2224,https://github.com/vllm-project/vllm/graphs/contributors,,,,,,,,,,,,
Vocode,,https://github.com/vocodedev/,logos/1879221c96fb24fb05260788552ab2ae7d768ac0e0af4515a103a4d03ceba6d8.png,,,,,,,MIT License,,🤖 Build voice-based LLM agents. Modular + open source.,,,,,,,,,,,,Agentic,Voice Agents,true,https://github.com/vocodedev/vocode-core,3696,🤖 Build voice-based LLM agents. Modular + open source.,2024-11-15,https://github.com/vocodedev/vocode-core/commit/e054c33a72787b6a4920f91eb8598ad0bafb4240,2024-06-18,https://github.com/vocodedev/vocode-core/releases/tag/v0.1.113,2023-02-24,https://github.com/vocodedev/vocode-core/commit/6dc9fceeb51b651c30cf71e95c2d37a4b67a2b7b,59,https://github.com/vocodedev/vocode-core/graphs/contributors,,,,,,,,,,,,
W&B Weave,,https://wandb.ai/site/weave,logos/5306fb511bb5433617d86b367b3b64350d4af8101af6f03963b93d7f394c0b0a.png,,,,,,,Apache License 2.0,,"Weave is a toolkit for developing AI-powered applications, built by Weights & Biases.",,,,,,,,,,,,Agentic,Observability,true,https://github.com/wandb/weave,1054,"Weave is a toolkit for developing AI-powered applications, built by Weights & Biases.",2026-02-20,https://github.com/wandb/weave/commit/c6853acb8becec5a3c447d65445e6240574e7087,2026-02-14,https://github.com/wandb/weave/releases/tag/v0.52.28,2022-03-23,https://github.com/wandb/weave/commit/3842ad3fcccdbd45ff7d2c95be5d4a12b571aa1c,105,https://github.com/wandb/weave/graphs/contributors,,,,,,,,,,,,
Weaviate,,https://docs.weaviate.io/weaviate,logos/1854e7c6c113710a0458090bb363d14caff07cba9eec11a840fbd0b34c55fd82.svg,,,,,,,"BSD 3-Clause ""New"" or ""Revised"" License",,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",,,,,,,,,,,,Infrastructure,Vector DBs,true,https://github.com/weaviate/weaviate,15638,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",2026-02-23,https://github.com/weaviate/weaviate/commit/052e4cc6986e96cba3a68bd20a21ef84b33a3cef,2026-02-20,https://github.com/weaviate/weaviate/releases/tag/v1.35.10,2016-03-30,https://github.com/weaviate/weaviate/commit/4d94274315f28433aa9bf2abe7f75be1f4cdbca3,157,https://github.com/weaviate/weaviate/graphs/contributors,,,,,,,,,,,,
Zep,,https://www.getzep.com/,logos/02d8a7e2dfcbaea4ae04f113510ed6aa7f141721fded7f8be043078baf6be388.png,,,,,,,Apache License 2.0,,"Zep | Examples, Integrations, & More",,,,,,,,,,,,Agentic,Memory,true,https://github.com/getzep/zep,4083,"Zep | Examples, Integrations, & More",2026-02-14,https://github.com/getzep/zep/commit/1e8bb6dc40cf63ba796013eb452ff3bb2cf5837e,2025-09-11,https://github.com/getzep/zep/releases/tag/zep-crewai-v1.1.1,2023-04-29,https://github.com/getzep/zep/commit/5d4851142647d3d81a01a655fe9df480c0fff233,17,https://github.com/getzep/zep/graphs/contributors,,,,,,,,,,,,
